customer_id,total_orders,total_revenue,first_purchase_date,last_purchase_date,days_since_last_purchase,churn_status,is_churned
C0165,51,63180540,2019-02-27,2024-12-24,7,Active,False
C0302,42,51978350,2019-02-05,2024-12-24,7,Active,False
C0138,41,54457080,2019-01-10,2024-12-25,6,Active,False
C0177,30,31520790,2019-04-01,2024-12-25,6,Active,False
C0354,41,48835850,2019-01-06,2024-12-25,6,Active,False
C0407,43,51590180,2019-01-22,2024-12-25,6,Active,False
C0399,42,49461920,2019-01-03,2024-12-25,6,Active,False
C0317,38,40944770,2019-01-17,2024-12-25,6,Active,False
C0304,51,71638560,2019-01-26,2024-12-25,6,Active,False
C0001,40,52640600,2019-01-26,2024-12-25,6,Active,False
C0049,42,66038070,2019-01-25,2024-12-25,6,Active,False
C0027,44,47252220,2019-03-25,2024-12-26,5,Active,False
C0095,31,46147160,2019-01-16,2024-12-26,5,Active,False
C0099,52,52019750,2019-01-10,2024-12-26,5,Active,False
C0159,36,44984320,2019-02-02,2024-12-26,5,Active,False
C0194,36,39279180,2019-04-15,2024-12-26,5,Active,False
C0234,33,63256170,2019-01-09,2024-12-26,5,Active,False
C0214,35,42524620,2019-01-12,2024-12-26,5,Active,False
C0404,35,44973650,2019-02-10,2024-12-26,5,Active,False
C0329,36,50414010,2019-01-03,2024-12-26,5,Active,False
C0452,42,39890320,2019-03-05,2024-12-27,4,Active,False
C0076,49,68416560,2019-01-12,2024-12-27,4,Active,False
C0423,35,43818650,2019-02-25,2024-12-27,4,Active,False
C0188,45,48293510,2019-01-28,2024-12-27,4,Active,False
C0294,51,69115310,2019-03-26,2024-12-27,4,Active,False
C0496,41,49977230,2019-02-17,2024-12-27,4,Active,False
C0023,37,53343670,2019-01-05,2024-12-27,4,Active,False
C0195,33,46367090,2019-02-15,2024-12-28,3,Active,False
C0167,35,41587150,2019-01-03,2024-12-28,3,Active,False
C0210,32,42817450,2019-02-20,2024-12-28,3,Active,False
C0445,30,48822870,2019-04-04,2024-12-28,3,Active,False
C0458,43,48276200,2019-07-09,2024-12-28,3,Active,False
C0490,50,73710890,2019-01-26,2024-12-29,2,Active,False
C0276,49,62626530,2019-01-08,2024-12-29,2,Active,False
C0478,47,61995630,2019-02-04,2024-12-29,2,Active,False
C0026,41,60102980,2019-01-09,2024-12-29,2,Active,False
C0108,26,33566370,2019-01-03,2024-12-29,2,Active,False
C0145,37,29769500,2019-04-01,2024-12-29,2,Active,False
C0286,39,50682130,2019-01-06,2024-12-29,2,Active,False
C0232,41,49272940,2019-01-24,2024-12-29,2,Active,False
C0439,43,49820310,2019-03-21,2024-12-29,2,Active,False
C0190,38,49869830,2019-05-15,2024-12-29,2,Active,False
C0096,40,47646050,2019-01-02,2024-12-30,1,Active,False
C0067,33,44311920,2019-05-29,2024-12-30,1,Active,False
C0326,47,55349670,2019-03-14,2024-12-30,1,Active,False
C0320,35,42807100,2019-04-01,2024-12-30,1,Active,False
C0104,36,35121810,2019-02-27,2024-12-30,1,Active,False
C0157,38,51879830,2019-02-15,2024-12-30,1,Active,False
C0208,34,40653790,2019-01-20,2024-12-30,1,Active,False
C0118,39,42906280,2019-01-16,2024-12-30,1,Active,False
C0414,44,54269830,2019-02-16,2024-12-31,0,Active,False
C0004,47,49040570,2019-03-21,2024-12-31,0,Active,False
C0273,40,50756990,2019-05-04,2024-12-31,0,Active,False
C0146,33,49274960,2019-01-20,2024-12-31,0,Active,False
C0074,45,46570120,2019-01-10,2024-12-31,0,Active,False
C0453,36,51744150,2019-05-25,2024-12-31,0,Active,False
C0468,56,70116180,2019-02-11,2024-12-31,0,Active,False
C0481,40,47983990,2019-01-03,2024-12-31,0,Active,False
